genome,completeness,contamination,length,N50
14_0929_09_20cm_Acidobacteria_6815_55_5.fasta,16.82,0.0,,
14_0929_09_20cm_Bacteria_6816_55_6.fasta,15.44,0.0,,
14_0929_09_20cm_Rokubacteria_6781_69_5.fasta,14.72,0.14,,
14_0929_09_20cm_Bacteria_6804_56_8.fasta,13.79,1.72,,
14_0929_09_20cm_Streptosporangiales_6775_69_5.fasta,13.2,0.0,,
14_0929_09_20cm_Bacteria_6780_62_5.fasta,13.05,0.48,,
14_0929_09_20cm_Bacteria_6809_55_7.fasta,12.85,4.31,,
14_0929_09_20cm_Ktedonobacter_racemifer_6811_54_6.fasta,12.56,0.0,,
14_0929_09_20cm_Bacteria_6774_57_6.fasta,11.73,0.0,,
14_0929_09_20cm_Bacteria_6784_69_7.fasta,11.58,0.33,,
14_0929_09_20cm_Acidobacteria_6793_57_5.fasta,11.26,0.0,,
14_0929_09_20cm_Bradyrhizobium_6823_62_8.fasta,11.21,0.0,,
14_0929_09_20cm_Acidobacteria_6771_57_5.fasta,11.2,0.0,,
14_0929_09_20cm_Bacteria_6802_60_5.fasta,11.13,1.72,,
14_0929_09_20cm_Bacteria_6776_69_5.fasta,10.53,0.19,,
14_0929_09_20cm_Bacteria_6824_67_7.fasta,10.28,0.86,,
14_0929_09_20cm_Bacteria_6810_66_6.fasta,10.03,0.0,,
14_0929_09_20cm_Proteobacteria_6799_64_11.fasta,9.72,0.0,,
14_0929_09_20cm_Sphingomonadales_6818_66_5.fasta,9.44,0.0,,
14_0929_09_20cm_Bacteria_6819_63_7.fasta,7.37,0.0,,
14_0929_09_20cm_Acidobacteria_6794_56_12.fasta,6.78,0.85,,
14_0929_09_20cm_Betaproteobacteria_6812_65_6.fasta,5.92,0.31,,
14_0929_09_20cm_Bacteria_6766_64_7.fasta,3.42,0.47,,
14_0929_09_20cm_Bacteria_6785_66_8.fasta,0.49,0.0,,
14_0929_09_30cm_Acidobacteria_6828_57_10.fasta,98.81,1.71,6811401.0,83655.0
14_0929_09_30cm_Deltaproteobacteria_6835_55_11.fasta,97.24,4.73,6271856.0,15521.0
14_0929_09_30cm_Acidobacteria_6831_56_8.fasta,97.17,4.56,4846260.0,37710.0
14_0929_09_30cm_Bacteria_6873_66_8.fasta,96.76,3.27,2974615.0,15475.0
14_0929_09_30cm_Bacteria_6843_68_8.fasta,96.6,2.79,2313263.0,19688.0
14_0929_09_30cm_Bacteria_6826_68_11.fasta,96.53,8.36,3198151.0,38336.0
14_0929_09_30cm_Proteobacteria_6867_68_12.fasta,96.33,6.45,5713310.0,13448.0
14_0929_09_30cm_Bacteria_6905_69_16.fasta,96.3,11.06,4136966.0,38013.0
14_0929_09_30cm_Gemmatimonadetes_6834_69_10.fasta,96.2,3.85,3571637.0,43428.0
14_0929_09_30cm_Bacteria_6847_57_11.fasta,95.73,4.27,8206459.0,60514.0
14_0929_09_30cm_Bacteria_6830_58_29.fasta,95.51,5.56,9600038.0,58518.0
14_0929_09_30cm_Bacteria_6832_65_9.fasta,94.96,2.96,3256638.0,18164.0
14_0929_09_30cm_Proteobacteria_6825_67_11.fasta,94.57,2.29,3916532.0,50117.0
14_0929_09_30cm_Proteobacteria_6836_67_22.fasta,94.44,5.35,4459360.0,14767.0
14_0929_09_30cm_Gemmatimonadetes_6851_68_8.fasta,94.21,4.4,3306661.0,71908.0
14_0929_09_30cm_Bacteria_6833_66_8.fasta,93.52,1.34,2920829.0,20698.0
14_0929_09_30cm_Armatimonadetes_6837_65_8.fasta,93.42,1.08,2652860.0,22794.0
14_0929_09_30cm_Bacteria_6827_66_11.fasta,93.06,6.48,2797822.0,23487.0
14_0929_09_30cm_Bacteria_6842_56_10.fasta,92.91,10.39,2874141.0,10174.0
14_0929_09_30cm_Acidobacteria_6855_55_7.fasta,92.52,1.71,4338750.0,12176.0
14_0929_09_30cm_Bacteria_6853_55_14.fasta,92.21,6.82,2829766.0,6815.0
14_0929_09_30cm_Deltaproteobacteria_6874_68_9.fasta,91.8,6.4,4399935.0,11647.0
14_0929_09_30cm_Nitrospirae_6829_62_9.fasta,91.11,8.86,2564616.0,9856.0
14_0929_09_30cm_Bacteria_6846_66_17.fasta,90.53,5.28,2891124.0,8813.0
14_0929_09_30cm_Bacteria_6871_66_10.fasta,90.15,11.21,3143643.0,46665.0
14_0929_09_30cm_Bacteria_6845_66_7.fasta,89.78,2.55,3128818.0,20628.0
14_0929_09_30cm_Acidobacteria_6850_57_7.fasta,89.52,5.32,5164064.0,12350.0
14_0929_09_30cm_Bacteria_6841_55_9.fasta,87.14,7.46,2899967.0,11703.0
14_0929_09_30cm_Bacteria_6840_61_7.fasta,87.11,2.14,4455391.0,7936.0
14_0929_09_30cm_Bacteria_6862_65_8.fasta,86.7,7.87,3096608.0,14475.0
14_0929_09_30cm_Bacteria_6875_72_9.fasta,86.54,4.2,4156777.0,13311.0
14_0929_09_30cm_Bacteria_6858_67_12.fasta,85.09,6.03,3125814.0,17572.0
14_0929_09_30cm_Bacteria_6884_68_11.fasta,84.85,11.41,6322820.0,12780.0
14_0929_09_30cm_Gemmatimonadetes_6895_69_8.fasta,84.51,6.14,3062930.0,11581.0
14_0929_09_30cm_Gemmatimonadetes_6906_69_11.fasta,84.13,6.74,3713574.0,9822.0
14_0929_09_30cm_Rokubacteria_6849_70_9.fasta,83.83,3.53,4358163.0,10518.0
14_0929_09_30cm_Bacteria_6838_54_22.fasta,83.78,2.36,2347581.0,24282.0
14_0929_09_30cm_unknown_6859_52_8.fasta,82.79,9.35,2283976.0,10112.0
14_0929_09_30cm_Rokubacteria_6839_68_7.fasta,82.78,5.62,4883720.0,12703.0
14_0929_09_30cm_Bacteria_6864_60_6.fasta,82.05,1.71,3789129.0,9229.0
14_0929_09_30cm_Betaproteobacteria_6879_64_7.fasta,81.8,4.78,3415776.0,5909.0
14_0929_09_30cm_Bacteria_6872_67_10.fasta,81.73,2.38,2720226.0,13672.0
14_0929_09_30cm_Rokubacteria_6844_69_7.fasta,81.71,2.97,3359383.0,10234.0
14_0929_09_30cm_Bacteria_6908_68_7.fasta,81.47,5.49,3751510.0,7633.0
14_0929_09_30cm_Betaproteobacteria_6861_66_8.fasta,80.54,6.95,2622910.0,4809.0
14_0929_09_30cm_Bacteria_6868_68_6.fasta,79.55,5.33,5404016.0,8469.0
14_0929_09_30cm_Bacteria_6854_67_6.fasta,78.42,0.0,2327603.0,7562.0
14_0929_09_30cm_Bacteria_6856_55_7.fasta,76.1,11.38,2736775.0,4887.0
14_0929_09_30cm_Ktedonobacter_racemifer_6899_53_6.fasta,73.54,2.97,,
14_0929_09_30cm_Euryarchaeota_6903_65_13.fasta,73.33,4.93,,
14_0929_09_30cm_Bacteria_6911_71_8.fasta,72.87,21.59,,
14_0929_09_30cm_Nitrospirae_6848_62_7.fasta,72.73,6.34,,
14_0929_09_30cm_Gemmatimonadetes_6889_61_6.fasta,72.47,0.26,,
14_0929_09_30cm_Bacteria_6890_55_7.fasta,72.45,5.66,,
14_0929_09_30cm_Gemmatimonadetes_6922_69_10.fasta,72.01,11.59,,
14_0929_09_30cm_Deltaproteobacteria_6892_70_6.fasta,71.94,2.58,,
14_0929_09_30cm_Bacteria_6869_55_12.fasta,71.39,4.86,,
14_0929_09_30cm_Alphaproteobacteria_6866_65_7.fasta,71.32,1.13,,
14_0929_09_30cm_Alphaproteobacteria_6902_63_6.fasta,70.97,10.15,,
14_0929_09_30cm_Bacteria_6852_66_13.fasta,70.37,2.78,,
14_0929_09_30cm_Bacteria_6877_55_23.fasta,69.95,0.93,,
14_0929_09_30cm_Bacteria_6916_55_6.fasta,69.86,12.83,,
14_0929_09_30cm_Gemmatimonadetes_6860_69_30.fasta,69.03,2.5,,
14_0929_09_30cm_Bacteria_6924_55_10.fasta,69.0,6.11,,
14_0929_09_30cm_Gemmatimonadetes_6915_69_6.fasta,68.44,1.1,,
14_0929_09_30cm_Betaproteobacteria_6897_68_6.fasta,67.57,1.83,,
14_0929_09_30cm_Acidobacteria_6863_57_6.fasta,67.28,2.14,,
14_0929_09_30cm_Bacteria_6865_66_6.fasta,66.6,4.77,,
14_0929_09_30cm_Euryarchaeota_6917_64_14.fasta,66.32,5.6,,
14_0929_09_30cm_Acidobacteria_6896_58_5.fasta,65.9,0.17,,
14_0929_09_30cm_Acidobacteria_6880_57_8.fasta,64.41,8.75,,
14_0929_09_30cm_Acidobacteria_6886_66_5.fasta,62.92,4.27,,
14_0929_09_30cm_Acidobacteriales_6876_59_9.fasta,62.86,0.85,,
14_0929_09_30cm_Bacteria_6894_55_7.fasta,60.61,5.7,,
14_0929_09_30cm_Bacteria_6883_57_5.fasta,60.16,2.56,,
14_0929_09_30cm_Bacteria_6891_58_5.fasta,60.12,1.71,,
14_0929_09_30cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_6857_69_6.fasta,59.98,0.95,,
14_0929_09_30cm_Betaproteobacteria_6900_63_6.fasta,59.79,0.67,,
14_0929_09_30cm_Bacteria_6887_55_6.fasta,57.75,1.71,,
14_0929_09_30cm_unknown_6927_53_5.fasta,57.4,8.41,,
14_0929_09_30cm_Bacteria_6942_55_9.fasta,56.41,12.48,,
14_0929_09_30cm_Bacteria_6881_66_5.fasta,56.36,0.93,,
14_0929_09_30cm_Bacteria_6912_69_8.fasta,56.31,6.03,,
14_0929_09_30cm_Bacteria_6913_66_6.fasta,55.97,0.0,,
14_0929_09_30cm_Bacteria_6907_69_7.fasta,55.18,6.67,,
14_0929_09_30cm_Bacteria_6885_71_5.fasta,53.93,1.31,,
14_0929_09_30cm_Nitrospirae_6893_58_7.fasta,53.63,1.98,,
14_0929_09_30cm_Bacteria_6878_73_10.fasta,53.06,2.39,,
14_0929_09_30cm_Bacteria_6988_55_7.fasta,52.34,11.82,,
14_0929_09_30cm_Euryarchaeota_6926_64_6.fasta,52.24,3.2,,
14_0929_09_30cm_Rokubacteria_6948_70_8.fasta,49.07,4.33,,
14_0929_09_30cm_Bacteria_6985_55_7.fasta,48.6,12.62,,
14_0929_09_30cm_Bacteria_6939_55_8.fasta,48.24,9.84,,
14_0929_09_30cm_Bradyrhizobium_6996_63_7.fasta,46.55,11.83,,
14_0929_09_30cm_Actinobacteria_6953_67_6.fasta,45.46,3.02,,
14_0929_09_30cm_Bacteria_6987_57_7.fasta,44.83,8.97,,
14_0929_09_30cm_Bacteria_6921_66_7.fasta,44.48,2.04,,
14_0929_09_30cm_Bacteria_6975_68_6.fasta,43.45,1.72,,
14_0929_09_30cm_Bacteria_6990_55_13.fasta,42.91,9.93,,
14_0929_09_30cm_Bacteria_6947_56_14.fasta,42.65,8.17,,
14_0929_09_30cm_Sphingomonadales_6882_66_6.fasta,42.34,0.15,,
14_0929_09_30cm_Actinobacteria_6962_69_6.fasta,41.67,12.93,,
14_0929_09_30cm_Actinobacteria_6961_70_5.fasta,41.24,6.09,,
14_0929_09_30cm_Bacteria_6954_68_5.fasta,39.97,5.74,,
14_0929_09_30cm_Bacteria_6956_55_6.fasta,39.89,4.42,,
14_0929_09_30cm_Bacteria_6934_56_18.fasta,39.67,8.07,,
14_0929_09_30cm_Euryarchaeota_6940_65_5.fasta,39.32,10.28,,
14_0929_09_30cm_Bacteria_6931_63_4.fasta,39.07,1.49,,
14_0929_09_30cm_Actinobacteria_6914_72_5.fasta,38.44,4.13,,
14_0929_09_30cm_Bacteria_6963_69_5.fasta,38.3,8.61,,
14_0929_09_30cm_Bacteria_6951_61_4.fasta,38.13,11.39,,
14_0929_09_30cm_Bacteria_6981_55_9.fasta,37.83,8.36,,
14_0929_09_30cm_Bacteria_6920_55_8.fasta,37.65,6.08,,
14_0929_09_30cm_Bacteria_6935_66_8.fasta,35.96,0.0,,
14_0929_09_30cm_Euryarchaeota_6977_63_10.fasta,35.87,6.28,,
14_0929_09_30cm_Bacteria_6888_69_4.fasta,35.77,1.11,,
14_0929_09_30cm_Bacteria_6941_55_8.fasta,35.57,10.28,,
14_0929_09_30cm_Bacteria_6965_55_5.fasta,35.16,5.34,,
14_0929_09_30cm_Bacteria_6870_66_10.fasta,34.72,1.85,,
14_0929_09_30cm_Bacteria_6925_55_6.fasta,34.4,5.41,,
14_0929_09_30cm_Bacteria_6972_67_5.fasta,33.35,0.16,,
14_0929_09_30cm_Bacteria_6928_70_7.fasta,33.32,5.73,,
14_0929_09_30cm_Bacteria_6909_55_6.fasta,33.28,1.35,,
14_0929_09_30cm_Bacteria_6933_67_8.fasta,32.66,4.83,,
14_0929_09_30cm_Bacteria_6973_65_7.fasta,32.53,8.06,,
14_0929_09_30cm_Bacteria_6919_55_8.fasta,32.25,0.72,,
14_0929_09_30cm_Bacteria_6943_55_5.fasta,31.45,4.27,,
14_0929_09_30cm_Euryarchaeota_6898_65_6.fasta,30.16,0.8,,
14_0929_09_30cm_Bacteria_6901_55_11.fasta,29.91,3.07,,
14_0929_09_30cm_Acidobacteria_6929_55_5.fasta,29.7,0.0,,
14_0929_09_30cm_Bacteria_6932_57_5.fasta,26.14,0.0,,
14_0929_09_30cm_Bacteria_6989_56_9.fasta,25.07,1.66,,
14_0929_09_30cm_Betaproteobacteria_6918_65_7.fasta,24.41,1.1,,
14_0929_09_30cm_Bacteria_6982_66_8.fasta,23.51,0.0,,
14_0929_09_30cm_Bacteria_6955_69_7.fasta,22.23,2.17,,
14_0929_09_30cm_Bacteria_6904_68_6.fasta,22.13,0.86,,
14_0929_09_30cm_Bacteria_6923_56_5.fasta,21.33,1.71,,
14_0929_09_30cm_Bacteria_6980_71_8.fasta,20.38,0.0,,
14_0929_09_30cm_Chloroflexi_6957_55_6.fasta,18.45,1.98,,
14_0929_09_30cm_Bacteria_6967_59_7.fasta,17.64,2.59,,
14_0929_09_30cm_Euryarchaeota_6986_65_11.fasta,17.29,0.78,,
14_0929_09_30cm_Bacteria_6950_71_9.fasta,16.27,0.0,,
14_0929_09_30cm_Bacteria_6994_56_9.fasta,16.26,0.0,,
14_0929_09_30cm_Betaproteobacteria_6974_67_6.fasta,15.52,1.72,,
14_0929_09_30cm_Bacteria_6991_58_6.fasta,14.89,0.16,,
14_0929_09_30cm_Bacteria_6978_68_6.fasta,13.01,1.72,,
14_0929_09_30cm_Bacteria_6944_67_6.fasta,12.62,1.29,,
14_0929_09_30cm_Bacteria_6993_55_7.fasta,11.29,0.0,,
14_0929_09_30cm_Bacteria_6938_66_7.fasta,11.15,0.0,,
14_0929_09_30cm_Rokubacteria_6910_70_10.fasta,11.13,0.0,,
14_0929_09_30cm_Bacteria_6979_55_19.fasta,10.5,0.0,,
14_0929_09_30cm_Alphaproteobacteria_6952_65_6.fasta,10.27,0.04,,
14_0929_09_30cm_Bacteria_6945_67_9.fasta,10.19,0.0,,
14_0929_09_30cm_Actinobacteria_6960_69_6.fasta,9.87,0.0,,
14_0929_09_30cm_Bacteria_6937_66_6.fasta,9.83,0.0,,
14_0929_09_30cm_Euryarchaeota_6930_65_9.fasta,9.64,0.0,,
14_0929_09_30cm_Bacteria_6998_68_12.fasta,8.62,0.0,,
14_0929_09_30cm_Bacteria_6964_55_15.fasta,8.54,0.0,,
14_0929_09_30cm_Betaproteobacteria_6946_67_7.fasta,8.19,0.0,,
14_0929_09_30cm_Bacteria_6966_61_10.fasta,7.49,0.75,,
14_0929_09_30cm_Euryarchaeota_6983_64_6.fasta,6.93,0.0,,
14_0929_09_30cm_Bacteria_6949_69_8.fasta,6.82,0.0,,
14_0929_09_30cm_Bacteria_6959_57_5.fasta,6.82,0.0,,
14_0929_09_30cm_Bacteria_6992_67_26.fasta,6.74,0.47,,
14_0929_09_30cm_Proteobacteria_6968_68_8.fasta,6.54,0.0,,
14_0929_09_30cm_Proteobacteria_6936_69_6.fasta,6.43,0.0,,
14_0929_09_30cm_Bacteria_6958_66_8.fasta,5.91,0.0,,
14_0929_09_30cm_Bacteria_6970_56_5.fasta,5.72,0.0,,
14_0929_09_30cm_Bacteria_6984_54_7.fasta,4.31,0.0,,
14_0929_09_30cm_Bacteria_6997_58_14.fasta,4.25,0.37,,
14_0929_09_30cm_Bacteria_6976_57_18.fasta,3.45,0.63,,
14_0929_09_30cm_Bacteria_6969_55_8.fasta,3.13,0.0,,
14_0929_09_30cm_Acidobacteria_6971_64_8.fasta,1.56,0.05,,
14_0929_09_30cm_Bacteria_6995_57_4.fasta,1.1,0.0,,
14_0929_09_40cm_Acidobacteria_7000_57_10.fasta,99.66,1.71,6890720.0,72026.0
14_0929_09_40cm_Bacteria_7006_68_10.fasta,97.03,3.47,3065347.0,44776.0
14_0929_09_40cm_Gemmatimonadetes_7004_68_10.fasta,96.7,3.3,3515868.0,25203.0
14_0929_09_40cm_Bacteria_7002_54_13.fasta,96.45,3.83,3681659.0,24869.0
14_0929_09_40cm_Bacteria_7007_65_12.fasta,95.99,2.78,3536687.0,59115.0
14_0929_09_40cm_Gemmatimonadetes_7011_69_9.fasta,95.54,6.59,3583522.0,49784.0
14_0929_09_40cm_Bacteria_6999_58_21.fasta,95.51,5.56,8869180.0,71438.0
14_0929_09_40cm_Deltaproteobacteria_7001_55_14.fasta,95.3,5.7,5553564.0,14808.0
14_0929_09_40cm_Bacteria_7016_55_11.fasta,93.58,4.05,2816360.0,20428.0
14_0929_09_40cm_Gemmatimonadetes_7005_69_8.fasta,92.91,4.46,3323388.0,15384.0
14_0929_09_40cm_Bacteria_7054_70_8.fasta,92.16,1.16,3051376.0,13669.0
14_0929_09_40cm_Bacteria_7008_67_8.fasta,91.91,4.73,3227362.0,18624.0
14_0929_09_40cm_Nitrospirae_7009_62_10.fasta,91.91,9.88,2343007.0,13603.0
14_0929_09_40cm_Bacteria_7055_67_12.fasta,91.64,2.67,3025427.0,13121.0
14_0929_09_40cm_Deltaproteobacteria_7091_69_9.fasta,91.26,6.18,4373353.0,7580.0
14_0929_09_40cm_Euryarchaeota_7046_64_11.fasta,89.74,9.72,2486797.0,9829.0
14_0929_09_40cm_Gemmatimonadetes_7031_70_9.fasta,89.65,0.06,2741900.0,13206.0
14_0929_09_40cm_Proteobacteria_7030_69_8.fasta,88.83,2.19,3186350.0,16991.0
14_0929_09_40cm_unknown_7076_52_9.fasta,88.67,6.8,2232120.0,33188.0
14_0929_09_40cm_Acidobacteria_7039_57_8.fasta,87.94,3.42,3981723.0,8015.0
14_0929_09_40cm_Gemmatimonadetes_7015_69_7.fasta,87.72,4.4,3461302.0,11911.0
14_0929_09_40cm_Bacteria_7018_70_11.fasta,87.51,6.57,6256518.0,27582.0
14_0929_09_40cm_Bacteria_7010_58_7.fasta,87.35,1.71,6413148.0,10393.0
14_0929_09_40cm_Bacteria_7012_55_6.fasta,86.66,2.94,2492464.0,9166.0
14_0929_09_40cm_Euryarchaeota_7038_64_19.fasta,85.86,4.4,1910335.0,15113.0
14_0929_09_40cm_Bacteria_7003_68_8.fasta,85.7,7.0,5748060.0,20199.0
14_0929_09_40cm_Bacteria_7022_68_13.fasta,85.29,3.5,5722956.0,14039.0
14_0929_09_40cm_Rokubacteria_7014_69_21.fasta,85.23,9.51,4250514.0,8070.0
14_0929_09_40cm_Bacteria_7017_63_7.fasta,84.98,1.98,2477410.0,12328.0
14_0929_09_40cm_Rokubacteria_7019_69_18.fasta,84.95,7.37,4720627.0,12520.0
14_0929_09_40cm_Acidobacteria_7023_62_12.fasta,84.19,6.27,3417353.0,5856.0
14_0929_09_40cm_Verrucomicrobia_7028_55_10.fasta,84.18,3.66,1895277.0,11167.0
14_0929_09_40cm_Bacteria_7065_55_9.fasta,83.9,19.46,3230703.0,8332.0
14_0929_09_40cm_unknown_7058_52_11.fasta,83.33,1.08,1991491.0,41193.0
14_0929_09_40cm_Archaea_7090_57_9.fasta,83.26,5.42,2099962.0,6643.0
14_0929_09_40cm_Euryarchaeota_7032_64_15.fasta,83.07,9.05,1979548.0,8302.0
14_0929_09_40cm_Bacteria_7013_56_14.fasta,83.05,9.12,4215705.0,7273.0
14_0929_09_40cm_Candidatus_Nitrososphaera_gargensis_7037_48_8.fasta,83.01,3.4,1922666.0,7162.0
14_0929_09_40cm_Bacteria_7024_66_6.fasta,82.09,1.39,2645303.0,8617.0
14_0929_09_40cm_Armatimonadetes_7045_65_15.fasta,82.02,4.25,2359856.0,11066.0
14_0929_09_40cm_Bacteria_7047_55_11.fasta,81.64,9.05,2379345.0,4870.0
14_0929_09_40cm_Euryarchaeota_7025_64_18.fasta,81.55,2.5,1948770.0,8405.0
14_0929_09_40cm_Bacteria_7052_63_12.fasta,81.35,2.48,2385594.0,15727.0
14_0929_09_40cm_Betaproteobacteria_7050_66_10.fasta,81.0,8.66,3110639.0,4884.0
14_0929_09_40cm_unknown_7066_52_9.fasta,78.98,4.37,2101079.0,12049.0
14_0929_09_40cm_Archaea_7033_53_7.fasta,77.1,2.8,1590141.0,20805.0
14_0929_09_40cm_Euryarchaeota_7035_65_6.fasta,76.0,6.8,1578627.0,6118.0
14_0929_09_40cm_Bacteria_7027_56_14.fasta,75.86,3.75,2138936.0,9994.0
14_0929_09_40cm_Bacteria_7036_71_9.fasta,74.65,7.75,,
14_0929_09_40cm_Acidobacteria_7026_66_6.fasta,74.13,5.3,,
14_0929_09_40cm_Euryarchaeota_7021_64_14.fasta,74.09,5.6,,
14_0929_09_40cm_Acidobacteria_7064_57_6.fasta,73.7,4.42,,
14_0929_09_40cm_Bacteria_7051_66_6.fasta,72.71,0.93,,
14_0929_09_40cm_Gemmatimonadetes_7041_70_12.fasta,71.11,1.1,,
14_0929_09_40cm_Gemmatimonadetes_7020_69_11.fasta,69.65,2.26,,
14_0929_09_40cm_Bacteria_7074_55_9.fasta,69.6,7.62,,
14_0929_09_40cm_RIFCSPLOWO2_02_FULL_Nitrospirae_62_14_curated_7049_62_6.fasta,69.51,2.73,,
14_0929_09_40cm_Alphaproteobacteria_7086_63_6.fasta,68.28,16.17,,
14_0929_09_40cm_Bacteria_7040_71_9.fasta,67.42,10.69,,
14_0929_09_40cm_Bacteria_7044_55_8.fasta,66.77,8.12,,
14_0929_09_40cm_Nitrospirae_7061_62_16.fasta,66.31,7.58,,
14_0929_09_40cm_Acidobacteria_7029_56_5.fasta,65.58,0.0,,
14_0929_09_40cm_Bacteria_7106_68_9.fasta,64.67,20.69,,
14_0929_09_40cm_Bacteria_7131_65_5.fasta,62.19,23.72,,
14_0929_09_40cm_Bacteria_7078_66_7.fasta,62.01,2.88,,
14_0929_09_40cm_Gemmatimonadetes_7096_70_7.fasta,61.58,3.3,,
14_0929_09_40cm_Bacteria_7053_66_5.fasta,61.37,0.0,,
14_0929_09_40cm_Gemmatimonadetes_7056_66_6.fasta,60.65,1.65,,
14_0929_09_40cm_Euryarchaeota_7063_64_10.fasta,59.99,6.81,,
14_0929_09_40cm_Gemmatimonadetes_7134_68_19.fasta,59.75,15.0,,
14_0929_09_40cm_Bacteria_7034_66_8.fasta,59.41,1.7,,
14_0929_09_40cm_Gemmatimonadetes_7069_70_8.fasta,59.25,2.6,,
14_0929_09_40cm_Bacteria_7105_72_11.fasta,58.95,18.62,,
14_0929_09_40cm_Verrucomicrobia_7043_56_6.fasta,58.65,0.9,,
14_0929_09_40cm_Actinobacteria_7079_69_6.fasta,58.21,1.71,,
14_0929_09_40cm_Bacteria_7071_66_5.fasta,57.41,0.93,,
14_0929_09_40cm_Betaproteobacteria_7042_64_8.fasta,56.73,4.99,,
14_0929_09_40cm_Betaproteobacteria_7082_66_6.fasta,56.68,3.25,,
14_0929_09_40cm_Bacteria_7135_66_6.fasta,54.88,11.91,,
14_0929_09_40cm_Bacteria_7161_56_17.fasta,54.79,16.36,,
14_0929_09_40cm_Bacteria_7077_66_7.fasta,54.68,5.09,,
14_0929_09_40cm_unknown_7059_52_8.fasta,54.29,3.96,,
14_0929_09_40cm_Euryarchaeota_7089_64_13.fasta,54.22,4.4,,
14_0929_09_40cm_Euryarchaeota_7070_65_10.fasta,53.24,0.8,,
14_0929_09_40cm_Bacteria_7114_68_5.fasta,53.15,14.44,,
14_0929_09_40cm_Deltaproteobacteria_7087_70_6.fasta,52.55,0.68,,
14_0929_09_40cm_Rokubacteria_7048_71_6.fasta,52.48,3.09,,
14_0929_09_40cm_Archaea_7107_51_15.fasta,50.91,3.97,,
14_0929_09_40cm_Bacteria_7140_68_9.fasta,50.78,12.04,,
14_0929_09_40cm_Rokubacteria_7123_68_7.fasta,50.25,4.39,,
14_0929_09_40cm_Gemmatimonadetes_7116_69_8.fasta,49.14,6.03,,
14_0929_09_40cm_Bacteria_7118_56_10.fasta,48.53,6.48,,
14_0929_09_40cm_unknown_7120_52_13.fasta,48.29,7.12,,
14_0929_09_40cm_Bacteria_7117_55_7.fasta,47.96,12.3,,
14_0929_09_40cm_Bacteria_7155_66_5.fasta,46.51,8.33,,
14_0929_09_40cm_Bacteria_7067_73_6.fasta,46.45,1.94,,
14_0929_09_40cm_Bacteria_7080_66_5.fasta,45.82,2.78,,
14_0929_09_40cm_Actinobacteria_7115_67_6.fasta,45.78,5.6,,
14_0929_09_40cm_Verrucomicrobia_7072_55_12.fasta,45.67,1.71,,
14_0929_09_40cm_Bacteria_7160_58_6.fasta,44.6,12.74,,
14_0929_09_40cm_Euryarchaeota_7083_63_8.fasta,44.5,7.2,,
14_0929_09_40cm_Chloroflexi_7068_69_6.fasta,43.95,0.99,,
14_0929_09_40cm_Bacteria_7081_55_6.fasta,42.79,4.05,,
14_0929_09_40cm_unknown_7121_53_12.fasta,42.52,10.75,,
14_0929_09_40cm_unknown_7075_52_11.fasta,39.92,2.99,,
14_0929_09_40cm_Bacteria_10566_56_11.fasta,39.52,2.81,,
14_0929_09_40cm_Nitrospirae_7124_56_5.fasta,39.45,0.0,,
14_0929_09_40cm_Bacteria_7060_65_6.fasta,38.58,2.02,,
14_0929_09_40cm_Bacteria_7062_54_6.fasta,38.45,1.05,,
14_0929_09_40cm_Bacteria_7057_54_5.fasta,37.57,1.92,,
14_0929_09_40cm_Proteobacteria_7119_68_6.fasta,36.71,1.94,,
14_0929_09_40cm_Acidobacteria_7104_56_6.fasta,36.64,0.48,,
14_0929_09_40cm_Bacteria_7112_68_11.fasta,36.31,3.95,,
14_0929_09_40cm_Euryarchaeota_7130_63_10.fasta,35.67,5.61,,
14_0929_09_40cm_Gemmatimonadetes_7088_66_5.fasta,33.32,6.69,,
14_0929_09_40cm_Bacteria_7099_55_7.fasta,32.29,3.38,,
14_0929_09_40cm_Bacteria_7132_67_7.fasta,31.45,3.9,,
14_0929_09_40cm_Bacteria_7142_56_7.fasta,30.07,6.32,,
14_0929_09_40cm_Bacteria_7097_65_6.fasta,29.66,1.88,,
14_0929_09_40cm_Bacteria_7098_71_5.fasta,29.0,0.65,,
14_0929_09_40cm_Euryarchaeota_7092_64_12.fasta,27.96,2.61,,
14_0929_09_40cm_Bacteria_7141_55_9.fasta,27.59,2.4,,
14_0929_09_40cm_Bacteria_7073_68_4.fasta,27.17,0.0,,
14_0929_09_40cm_Bacteria_7103_64_14.fasta,26.99,2.18,,
14_0929_09_40cm_Bacteria_7100_69_10.fasta,26.91,1.23,,
14_0929_09_40cm_Bacteria_7147_66_8.fasta,25.87,0.0,,
14_0929_09_40cm_Bacteria_7108_71_11.fasta,25.87,2.11,,
14_0929_09_40cm_Euryarchaeota_7129_63_11.fasta,25.23,0.93,,
14_0929_09_40cm_Bacteria_7109_68_9.fasta,24.46,0.6,,
14_0929_09_40cm_Bacteria_7095_71_13.fasta,24.29,0.0,,
14_0929_09_40cm_Alphaproteobacteria_7128_62_6.fasta,22.57,4.58,,
14_0929_09_40cm_Bacteria_7110_72_6.fasta,22.52,0.0,,
14_0929_09_40cm_Bacteria_7122_57_6.fasta,21.68,0.0,,
14_0929_09_40cm_Bacteria_7113_68_8.fasta,20.85,3.76,,
